"ord"	"code"	"category"	"M.Valence"	"M.Arousal"	"M.Anger"	"M.Anxiety"	"M.Compassion"	"M.Guilt"	"M.Hope"	"SD.Valence"	"SD.Arousal"	"SD.Anger"	"SD.Anxiety"	"SD.Compassion"	"SD.Guilt"	"SD.Hope"	"n"
0	"ANX1"	"ANX"	28.16	65.68	58.81	64.23	64.29	53.19	37.03	30.92	25.55	33.53	31.74	29.02	33.83	37.09	31
1	"ANX2"	"ANX"	37.93	60.9	63.4	68.3	60.23	51.2	32.37	28.81	20.13	26.39	23.17	24.63	26.78	29.5	30
2	"ANX3"	"ANX"	41.88	57.91	52.55	55.97	52.06	42.7	38.94	28.98	29.09	33.25	30.55	29.98	32.9	30.02	33
3	"ANX4"	"ANX"	39.56	54.31	56.33	49.89	51.61	45.22	34.06	25.72	24.36	26.09	29.67	26.89	29.77	28.22	36
4	"ANX5"	"ANX"	40.74	66.41	58.79	64	68.29	53.76	36.59	29.92	25.91	27.52	23.67	25.08	28.56	28.59	34
5	"ANX6"	"ANX"	45.32	57.47	49.79	50.18	65.29	37.74	45.12	24.87	20.8	21.14	21.28	23.53	26.45	25.98	34
6	"ANX7"	"ANX"	36.39	65.58	65.64	68.73	66.58	51.24	39.39	34.14	30.25	32.1	28.46	30.23	35.34	35.04	33
7	"ANX8"	"ANX"	31.89	60.74	52.77	61.2	65	42.26	42.51	24.39	24.2	29	29.31	30.06	29.17	32.34	35
8	"ANX9"	"ANX"	37.94	61.53	59.09	61.81	56.53	50.88	44.5	28.68	26.71	27.65	25.25	25.98	27.33	30.81	32
9	"ANX10"	"ANX"	51.97	60.83	57.51	58.63	59.14	48	51.63	29.05	24.67	28.09	28.62	26.88	30.25	29.36	35
10	"ANX11"	"ANX"	26.31	62.29	60.46	64.74	63.54	44.03	31.29	25.76	26.66	28.45	28.63	26.94	31.56	31.9	35
11	"ANX12"	"ANX"	44.91	56.41	52.74	54.15	56.18	49.03	39.65	28.83	29	32.21	29.87	28.47	30.61	28.51	34
12	"ANX13"	"ANX"	42	58.35	51.21	48.82	48.65	32.38	42.38	22.96	23.15	27.82	33.02	28.13	26.98	30.21	34
13	"ANX14"	"ANX"	53.23	54.68	40.19	48.94	48.45	48.19	50.84	24.46	24.57	27.77	26.03	27.81	27.67	26.64	31
14	"ANX15"	"ANX"	45.82	55.76	48.48	51.42	55.97	42.15	54.58	30.92	29.18	30.03	29.8	31.25	29.87	28.35	33
15	"ANX16"	"ANX"	44.47	60.68	56.41	59.12	51.32	44.91	37.29	32.48	31.36	29.93	30.46	34.86	29.86	30.92	34
16	"ANX17"	"ANX"	28.94	64.62	58.25	56.78	74.44	43.88	34.47	29.03	23.98	33.47	30.94	24.84	30.03	28.64	32
17	"ANX18"	"ANX"	44.36	51.17	54.11	46.17	49.83	35.47	39.39	26.05	25.47	26.75	25.75	27.8	27.34	29.97	36
18	"ANX19"	"ANX"	39.3	46.55	58.09	56.36	52.09	45.24	36.12	23.67	23.53	23.76	28.29	27.1	27.94	27.72	33
19	"ANX20"	"ANX"	37.71	56.47	45.53	55.91	46.76	38.47	34.38	24.79	28.72	29.3	30.01	29.6	26.54	33.66	34
20	"ANX21"	"ANX"	36.94	53.15	50.74	48.74	58.41	41.71	35.76	26.96	25.76	26.88	26.03	23.64	25.08	25.59	34
21	"ANX22"	"ANX"	35.85	57.56	40.79	51.5	73.12	35.32	44.5	26.16	25.85	26.86	26.75	23.02	25.54	34.26	34
22	"ANX23"	"ANX"	29.59	62.35	60.32	54.74	55.32	46.35	31.59	25.1	23.68	28	27.8	27.27	27.66	28.08	34
23	"ANX24"	"ANX"	56.69	47.97	36.22	37.75	36.75	32.16	45.41	23.24	30.3	28.79	29.4	28.89	28.84	27.5	32
24	"ANX25"	"ANX"	37.14	51	52.34	50.83	49.69	42.83	39.74	21.17	23.99	28.27	25.46	26.2	26.26	27.27	35
25	"ANX26"	"ANX"	44.06	63.71	54.97	60.31	68.86	51.8	50.06	29.43	20.58	25.69	23.46	20.47	25.21	27.54	35
26	"ANX27"	"ANX"	44.5	53.82	43.47	44.97	52.26	43.74	44.97	28.6	25.68	29.05	31.65	26.66	30.59	29.87	34
27	"ANX28"	"ANX"	35.39	55.27	47.82	53.33	57.64	50.21	40	26.47	29.11	32.32	32.81	31.84	31.94	30.6	33
