 sid  |   code   | stid | nitems 
------+----------+------+--------
 5623 | r2tHk8QT |   14 |    179
 5771 | r2tujPkP |   14 |    131
 5203 | r2t8QE55 |   14 |    120
 5239 | r2t2Byaa |   14 |    120
 5480 | r2tQvDjN |   14 |    110
 5502 | r2tD7J6j |   14 |    110
 5313 | r2tk84uF |   14 |     99
 5264 | r2thkEG8 |   14 |     99
 5737 | r2tTGWKR |   14 |     97
 5190 | r2tLjp8Q |   14 |     80
 5648 | r2tsw3jd |   14 |     80
 5202 | r2twYcEW |   14 |     75
 5666 | r2tG8ZAn |   14 |     63
 5353 | r2tidQ2F |   14 |     60
 5104 | r1tc8RBE |   13 |     57
 5173 | r2tNz9sZ |   14 |     56
 5467 | r2tUVi36 |   14 |     50
 5451 | r2tSKkEq |   14 |     50
 5547 | r2tvnaHZ |   14 |     50
 5692 | r2tgGWag |   14 |     50
 5408 | r2t3ZUj7 |   14 |     50
 5277 | r2t7HF9m |   14 |     50
 5621 | r2tBze4X |   14 |     50
 5276 | r2tYsteB |   14 |     50
 5307 | r2tuzTns |   14 |     46
 5189 | r2tXRyHP |   14 |     42
 5236 | r2tWPBrK |   14 |     40
 5222 | r2toMeP4 |   14 |     40
 5691 | r2tvLbim |   14 |     40
 5673 | r2tSqcgh |   14 |     40
 5732 | r2tqPLsH |   14 |     40
 5164 | r2t8tSwQ |   14 |     40
 5351 | r2thagxg |   14 |     40
 5058 | r1tcK4sx |   13 |     40
 5163 | r2t89Wk5 |   14 |     40
 5715 | r2tscaNf |   14 |     40
 5588 | r2tUxYGg |   14 |     40
 5368 | r2tpqRvE |   14 |     39
 5448 | r2tmTKZ5 |   14 |     38
 5363 | r2tSRtWL |   14 |     30
 5362 | r2tPRD8S |   14 |     30
 5301 | r2tFCPnn |   14 |     30
 5341 | r2tv6crZ |   14 |     30
 5340 | r2ts4vm7 |   14 |     30
 5339 | r2tnVJUr |   14 |     30
 5717 | r2tAyuht |   14 |     30
 5336 | r2tZYXvD |   14 |     30
 5332 | r2ttKgJu |   14 |     30
 5331 | r2tk2rc2 |   14 |     30
 5325 | r2tPZyon |   14 |     30
 5324 | r2trrowP |   14 |     30
 5322 | r2tc74HC |   14 |     30
 5605 | r2tcRvLd |   14 |     30
 5597 | r1tq2isb |   13 |     30
 5355 | r2tC7s5f |   14 |     30
 5298 | r2t7Je75 |   14 |     30
 5291 | r2t7tek4 |   14 |     30
 5581 | r2tSy8gV |   14 |     30
 5290 | r2tNDjFr |   14 |     30
 5280 | r2tcCYr6 |   14 |     30
 5279 | r2taYns5 |   14 |     30
 5148 | r1tdJZ2u |   13 |     30
 5567 | r2ts27va |   14 |     30
 5564 | r1t5rv2C |   13 |     30
 5542 | r2thvd9e |   14 |     30
 5262 | r2tuPW8q |   14 |     30
 5529 | r1tk9682 |   13 |     30
 5169 | r2tztwTG |   14 |     30
 5527 | r2trF2Gw |   14 |     30
 5522 | r2to854V |   14 |     30
 5260 | r2tLpppe |   14 |     30
 5242 | r2tFpTH6 |   14 |     30
 5052 | r1t3gZ6j |   13 |     30
 5179 | r2tp6ECB |   14 |     30
 5521 | r2t958CB |   14 |     30
 5234 | r2ttqL4i |   14 |     30
 5229 | r2tYhuhn |   14 |     30
 5675 | r2t67GDT |   14 |     30
 5739 | r2tqJNGc |   14 |     30
 5225 | r2tQTCKG |   14 |     30
 5224 | r2tQCK8v |   14 |     30
 5196 | r2tggePt |   14 |     30
 5665 | r2tdwxde |   14 |     30
 5663 | r2tLmjr4 |   14 |     30
 5658 | r2tr73yr |   14 |     30
 5077 | r1t9mrsR |   13 |     30
 5432 | r2tgzcdA |   14 |     30
 5415 | r2tZiJHT |   14 |     30
 5083 | r1tQsRg9 |   13 |     30
 5410 | r2tfHjNJ |   14 |     30
 5407 | r2tJk8oM |   14 |     30
 5630 | r2tkCtwL |   14 |     30
 5400 | r2tXk29e |   14 |     30
 5310 | r2tJGAj3 |   14 |     30
 5302 | r2tBmjy5 |   14 |     29
 5443 | r2t2aeVp |   14 |     28
 5033 | r1tjGcnU |   13 |     25
 5613 | r2t3M39F |   14 |     23
 5569 | r2tn5cpQ |   14 |     20
 5009 | r1trwLeT |   13 |     20
 5018 | r1tTucFZ |   13 |     20
 5020 | r1t7haNt |   13 |     20
 5022 | r1tqDQW3 |   13 |     20
 5032 | r1thL8Yf |   13 |     20
 5034 | r1tZ6VcK |   13 |     20
 5050 | r1tCCDYK |   13 |     20
 5055 | r1t9RQke |   13 |     20
 5056 | r1tvcNfz |   13 |     20
 5059 | r1tDS4D9 |   13 |     20
 5060 | r1tk5Z9N |   13 |     20
 5061 | r1tR8yRH |   13 |     20
 5063 | r1tDFpYx |   13 |     20
 5065 | r1tYghZL |   13 |     20
 5066 | r1t9R44f |   13 |     20
 5067 | r1tcHy6y |   13 |     20
 5069 | r1theVKK |   13 |     20
 5075 | r1tQo5Si |   13 |     20
 5079 | r1ts5RaH |   13 |     20
 5089 | r1tvy2UY |   13 |     20
 5090 | r1taY4Vn |   13 |     20
 5099 | r1t2F9Yf |   13 |     20
 5100 | r1tQfXcP |   13 |     20
 5111 | r1tA8MbH |   13 |     20
 5120 | r1tnNfdC |   13 |     20
 5121 | r1t47pM6 |   13 |     20
 5123 | r1t72cmC |   13 |     20
 5124 | r1tdxAqV |   13 |     20
 5125 | r1tiaSV5 |   13 |     20
 5143 | r1t6jZWU |   13 |     20
 5161 | r2tkbrdc |   14 |     20
 5162 | r2tNwB9k |   14 |     20
 5165 | r2tBHauA |   14 |     20
 5166 | r2ty22rx |   14 |     20
 5168 | r2tDASgz |   14 |     20
 5170 | r2tdJaHc |   14 |     20
 5171 | r2tKQics |   14 |     20
 5174 | r2tLosEU |   14 |     20
 5178 | r2tpiFh9 |   14 |     20
 5180 | r2tMDHYB |   14 |     20
 5182 | r2tHCbtJ |   14 |     20
 5183 | r2ti4ZY2 |   14 |     20
 5186 | r2tn5WJw |   14 |     20
 5187 | r2ttEygQ |   14 |     20
 5191 | r2t4aDio |   14 |     20
 5192 | r2tijrM9 |   14 |     20
 5194 | r2tWerBj |   14 |     20
 5204 | r2txkwGq |   14 |     20
 5207 | r2tsJCMU |   14 |     20
 5208 | r2t9GXnj |   14 |     20
 5209 | r2tA6CYW |   14 |     20
 5210 | r2txAMk8 |   14 |     20
 5212 | r2t6kQrU |   14 |     20
 5213 | r2tuWGgm |   14 |     20
 5227 | r2t7cgUt |   14 |     20
 5228 | r2tZx5KN |   14 |     20
 5231 | r2tikS2j |   14 |     20
 5232 | r2teY74m |   14 |     20
 5233 | r2tqbzgk |   14 |     20
 5235 | r2tJLGwm |   14 |     20
 5238 | r2tsWB3B |   14 |     20
 5241 | r2tSuQhi |   14 |     20
 5246 | r2tY6VDd |   14 |     20
 5248 | r2tgLWfj |   14 |     20
 5249 | r2tdEAg3 |   14 |     20
 5252 | r2tAM7fy |   14 |     20
 5254 | r2to2jgN |   14 |     20
 5255 | r2tVAQUH |   14 |     20
 5258 | r2tnhi8a |   14 |     20
 5261 | r2tF5od2 |   14 |     20
 5263 | r2t5UHQY |   14 |     20
 5266 | r2tT2DKy |   14 |     20
 5268 | r2tsXEYq |   14 |     20
 5270 | r2t3FSR6 |   14 |     20
 5271 | r2tHzmRz |   14 |     20
 5272 | r2tH3VWE |   14 |     20
 5273 | r2tSt8Ri |   14 |     20
 5274 | r2tr8e5V |   14 |     20
 5275 | r2t5q3Gi |   14 |     20
 5278 | r2triPej |   14 |     20
 5281 | r2tZmbxE |   14 |     20
 5282 | r2tm9eGi |   14 |     20
 5283 | r2txSdSy |   14 |     20
 5284 | r2tKkds4 |   14 |     20
 5285 | r2tHA23x |   14 |     20
 5289 | r2tb4WAN |   14 |     20
 5293 | r2t3QEJD |   14 |     20
 5294 | r2tmxgxq |   14 |     20
 5295 | r2t96Q5R |   14 |     20
 5296 | r2tYQeZA |   14 |     20
 5299 | r2tDQVnQ |   14 |     20
 5300 | r2tWbMPG |   14 |     20
 5303 | r2tbSqgV |   14 |     20
 5306 | r2tqyHWk |   14 |     20
 5311 | r2t7aQaL |   14 |     20
 5312 | r2tvD6jD |   14 |     20
 5314 | r2tpYTcw |   14 |     20
 5315 | r2teeLB4 |   14 |     20
 5316 | r2tUPAZ9 |   14 |     20
 5318 | r2tKV4cs |   14 |     20
 5319 | r2t6xJgF |   14 |     20
 5320 | r2tBQqew |   14 |     20
 5323 | r2tr7a23 |   14 |     20
 5328 | r2tPTntp |   14 |     20
 5334 | r2tSz3B8 |   14 |     20
 5338 | r2tH9TnY |   14 |     20
 5342 | r2tPxigk |   14 |     20
 5346 | r2tmxYsT |   14 |     20
 5348 | r2t7L54f |   14 |     20
 5349 | r2tr8MoR |   14 |     20
 5356 | r2tHQa2j |   14 |     20
 5357 | r1tjRw8U |   13 |     20
