 sid  |   code   | stid 
------+----------+------
 5004 | r1tY2aGp |   13
 5005 | r1tVmeEa |   13
 5006 | r1taxUhX |   13
 5007 | r1tgFczu |   13
 5008 | r1tMkUHy |   13
 5009 | r1trwLeT |   13
 5010 | r1t9oCJZ |   13
 5011 | r1tunxxx |   13
 5012 | r1taa3L2 |   13
 5013 | r1ttF6PH |   13
 5015 | r1teQ2go |   13
 5016 | r1t7hhY9 |   13
 5017 | r1tkLQvn |   13
 5018 | r1tTucFZ |   13
 5020 | r1t7haNt |   13
 5021 | r1t5Xy5v |   13
 5022 | r1tqDQW3 |   13
 5023 | r1tNvmvx |   13
 5024 | r1t3i9Sj |   13
 5025 | r1trayET |   13
 5026 | r1tM8jwj |   13
 5027 | r1tUGY6t |   13
 5028 | r1tRTMJh |   13
 5029 | r1twQY9Y |   13
 5030 | r1tthgLT |   13
 5031 | r1tvTv2Q |   13
 5032 | r1thL8Yf |   13
 5033 | r1tjGcnU |   13
 5034 | r1tZ6VcK |   13
 5035 | r1t5wdYo |   13
 5036 | r1t4xwMo |   13
 5037 | r1ttAsVg |   13
 5038 | r1tDBtsG |   13
 5039 | r1treQzL |   13
 5040 | r1tN3vPz |   13
 5041 | r1tGfPxE |   13
 5042 | r1tXKd4A |   13
 5043 | r1td6isV |   13
 5044 | r1trviQN |   13
 5045 | r1tpjNTm |   13
 5046 | r1tQdi9K |   13
 5047 | r1tmM4QH |   13
 5048 | r1tZ3HwH |   13
 5049 | r1tutkbP |   13
 5050 | r1tCCDYK |   13
 5051 | r1tyZfRz |   13
 5052 | r1t3gZ6j |   13
 5053 | r1tcwcB9 |   13
 5054 | r1teh6nc |   13
 5055 | r1t9RQke |   13
 5056 | r1tvcNfz |   13
 5057 | r1tz5ro5 |   13
 5058 | r1tcK4sx |   13
 5059 | r1tDS4D9 |   13
 5060 | r1tk5Z9N |   13
 5061 | r1tR8yRH |   13
 5062 | r1tyDtL7 |   13
 5063 | r1tDFpYx |   13
 5065 | r1tYghZL |   13
 5066 | r1t9R44f |   13
 5067 | r1tcHy6y |   13
 5068 | r1thZLaL |   13
 5069 | r1theVKK |   13
 5070 | r1tsR72f |   13
 5071 | r1t6yTer |   13
 5072 | r1tg2SEW |   13
 5073 | r1tDsK3Z |   13
 5074 | r1t5MtY8 |   13
 5075 | r1tQo5Si |   13
 5076 | r1tGiZth |   13
 5077 | r1t9mrsR |   13
 5078 | r1tpFEMk |   13
 5079 | r1ts5RaH |   13
 5080 | r1tSyYLg |   13
 5081 | r1teNjRL |   13
 5083 | r1tQsRg9 |   13
 5084 | r1t2mtaS |   13
 5085 | r1tPPkfV |   13
 5086 | r1tuEgdJ |   13
 5087 | r1t8AbEP |   13
 5088 | r1tQh7Xi |   13
 5089 | r1tvy2UY |   13
 5090 | r1taY4Vn |   13
 5091 | r1tzNNPr |   13
 5092 | r1tDLhtA |   13
 5093 | r1tUTMaJ |   13
 5094 | r1t4ic7x |   13
 5096 | r1tvKv2o |   13
 5097 | r1t8pKiE |   13
 5098 | r1tME3is |   13
 5099 | r1t2F9Yf |   13
 5100 | r1tQfXcP |   13
 5101 | r1tWRSpy |   13
 5102 | r1tpHaEX |   13
 5103 | r1twopGq |   13
 5104 | r1tc8RBE |   13
 5105 | r1tLEisH |   13
 5106 | r1tUzoPT |   13
 5107 | r1tockbE |   13
 5108 | r1tDXUmM |   13
 5109 | r1tx3eCo |   13
 5110 | r1tptFEw |   13
 5111 | r1tA8MbH |   13
 5112 | r1twLqKk |   13
 5113 | r1tmvfDs |   13
 5114 | r1tE5vtM |   13
 5115 | r1tns4hr |   13
 5116 | r1taaTyA |   13
 5117 | r1tokBU3 |   13
 5118 | r1tmxFR6 |   13
 5119 | r1ttCFB6 |   13
 5120 | r1tnNfdC |   13
 5121 | r1t47pM6 |   13
 5122 | r1tGjHUt |   13
 5123 | r1t72cmC |   13
 5124 | r1tdxAqV |   13
 5125 | r1tiaSV5 |   13
 5127 | r1tJ6Ywb |   13
 5128 | r1tH8gEB |   13
 5129 | r1tdN2eV |   13
 5130 | r1tFt9ym |   13
 5133 | r1tmtdRp |   13
 5134 | r1t3QQor |   13
 5135 | r1tpYt8P |   13
 5136 | r1tQEXKr |   13
 5137 | r1tsFbU6 |   13
 5138 | r1tnMJ97 |   13
 5139 | r1tQkCft |   13
 5140 | r1t3hX68 |   13
 5141 | r1t6XqR9 |   13
 5142 | r1tDwEsV |   13
 5143 | r1t6jZWU |   13
 5144 | r1tp3XVs |   13
 5145 | r1tuJGkk |   13
 5147 | r1tj3QGk |   13
 5148 | r1tdJZ2u |   13
 5149 | r1tjfTo9 |   13
 5150 | r1tKmb7A |   13
 5152 | r1tvTN8m |   13
 5153 | r1tzGMsr |   13
 5154 | r1tHKRCZ |   13
 5357 | r1tjRw8U |   13
 5402 | r1teLt2e |   13
 5403 | r1tDXjaS |   13
 5529 | r1tk9682 |   13
 5555 | r1tr4eBs |   13
 5562 | r1tV7yUy |   13
 5564 | r1t5rv2C |   13
 5576 | r1tjrZXj |   13
 5587 | r1tezLZ7 |   13
 5597 | r1tq2isb |   13
 5625 | r1tbGrnu |   13
 5632 | r1tCocBH |   13
 5720 | r1t53KqF |   13
 5773 | r1tCHfyB |   13
 5774 | r1tZimtP |   13
 5991 | r1tCG2Bx |   13
 6054 | r1ts5uuM |   13
 6204 | r1tWmtXf |   13
 6217 | r1taDfE7 |   13
 6219 | r1tfZfak |   13
 6226 | r1tyxS6J |   13
 6228 | r1tZQwzU |   13
 6236 | r1ty8ByZ |   13
 6237 | r1thhSkT |   13
 6238 | r1tRriT4 |   13
 6241 | r1t4dCzz |   13
 6247 | r1t9QRff |   13
 5161 | r2tkbrdc |   14
 5162 | r2tNwB9k |   14
 5163 | r2t89Wk5 |   14
 5164 | r2t8tSwQ |   14
 5165 | r2tBHauA |   14
 5166 | r2ty22rx |   14
 5167 | r2txXncn |   14
 5168 | r2tDASgz |   14
 5169 | r2tztwTG |   14
 5170 | r2tdJaHc |   14
 5171 | r2tKQics |   14
 5172 | r2t3QLG3 |   14
 5173 | r2tNz9sZ |   14
 5174 | r2tLosEU |   14
 5175 | r2t9zfsz |   14
 5176 | r2tMHZy4 |   14
 5177 | r2tYAMCx |   14
 5178 | r2tpiFh9 |   14
 5179 | r2tp6ECB |   14
 5180 | r2tMDHYB |   14
 5181 | r2tyfZoU |   14
 5182 | r2tHCbtJ |   14
 5183 | r2ti4ZY2 |   14
 5184 | r2tUdf4w |   14
 5185 | r2tuzxqF |   14
 5186 | r2tn5WJw |   14
