 sid  |   code   | stid |   name    | ord | presentation_time | evaluation_time 
------+----------+------+-----------+-----+-------------------+-----------------
 5004 | r1tY2aGp |   13 | rateme-pl |  40 |             14028 |           17213
 5004 | r1tY2aGp |   13 | rateme-pl | 103 |             31729 |           22264
 5004 | r1tY2aGp |   13 | rateme-pl |   8 |             12372 |           34445
 5004 | r1tY2aGp |   13 | rateme-pl |  30 |             18892 |           28749
 5004 | r1tY2aGp |   13 | rateme-pl | 153 |             12378 |           27111
 5004 | r1tY2aGp |   13 | rateme-pl | 134 |             14909 |           36439
 5004 | r1tY2aGp |   13 | rateme-pl | 148 |             31532 |           23742
 5004 | r1tY2aGp |   13 | rateme-pl |  66 |            141194 |           19155
 5004 | r1tY2aGp |   13 | rateme-pl | 150 |             13182 |                
 5004 | r1tY2aGp |   13 | rateme-pl | 130 |             12210 |           21658
 5004 | r1tY2aGp |   13 | rateme-pl | 177 |             14362 |           13202
 5004 | r1tY2aGp |   13 | rateme-pl | 125 |             22903 |           20611
 5004 | r1tY2aGp |   13 | rateme-pl |  76 |             13290 |           14924
 5004 | r1tY2aGp |   13 | rateme-pl | 161 |             15268 |           13279
 5004 | r1tY2aGp |   13 | rateme-pl |   6 |             11658 |           21689
 5004 | r1tY2aGp |   13 | rateme-pl |  23 |             16149 |           28359
 5004 | r1tY2aGp |   13 | rateme-pl |  77 |             71398 |           14810
 5004 | r1tY2aGp |   13 | rateme-pl | 145 |             12895 |         1127005
 5004 | r1tY2aGp |   13 | rateme-pl |  73 |             12355 |           18013
 5005 | r1tVmeEa |   13 | rateme-pl |  81 |             16169 |           23472
 5005 | r1tVmeEa |   13 | rateme-pl | 160 |              9769 |           13045
 5005 | r1tVmeEa |   13 | rateme-pl |  44 |             10969 |                
 5005 | r1tVmeEa |   13 | rateme-pl | 120 |             10906 |           27586
 5005 | r1tVmeEa |   13 | rateme-pl | 164 |             11865 |           15820
 5005 | r1tVmeEa |   13 | rateme-pl |  21 |             16261 |           53034
 5005 | r1tVmeEa |   13 | rateme-pl |  53 |             14717 |           29421
 5005 | r1tVmeEa |   13 | rateme-pl | 144 |             13818 |           24450
 5005 | r1tVmeEa |   13 | rateme-pl |   3 |             14027 |           23596
 5006 | r1taxUhX |   13 | rateme-pl | 107 |              8273 |           20784
 5006 | r1taxUhX |   13 | rateme-pl |  63 |             61807 |           25953
 5006 | r1taxUhX |   13 | rateme-pl |  88 |              6907 |           15072
 5006 | r1taxUhX |   13 | rateme-pl |  28 |              6304 |           22138
 5006 | r1taxUhX |   13 | rateme-pl |  18 |              5586 |           14825
 5006 | r1taxUhX |   13 | rateme-pl |  82 |             16324 |           26736
 5006 | r1taxUhX |   13 | rateme-pl | 105 |             62849 |           17565
 5006 | r1taxUhX |   13 | rateme-pl |  32 |              4357 |           17787
 5006 | r1taxUhX |   13 | rateme-pl |  72 |             47803 |           12939
 5006 | r1taxUhX |   13 | rateme-pl | 147 |             85596 |           16753
 5006 | r1taxUhX |   13 | rateme-pl | 146 |             10518 |           16403
 5006 | r1taxUhX |   13 | rateme-pl | 142 |             14722 |           14341
 5006 | r1taxUhX |   13 | rateme-pl |  42 |             67242 |            8028
 5007 | r1tgFczu |   13 | rateme-pl |  75 |             15667 |           19513
 5007 | r1tgFczu |   13 | rateme-pl |  49 |             12784 |           48933
 5007 | r1tgFczu |   13 | rateme-pl | 156 |            285019 |           21340
 5007 | r1tgFczu |   13 | rateme-pl | 118 |             13867 |           22439
 5007 | r1tgFczu |   13 | rateme-pl |  71 |             13462 |           15370
 5007 | r1tgFczu |   13 | rateme-pl | 135 |             15972 |           17647
 5007 | r1tgFczu |   13 | rateme-pl | 131 |             11633 |           18821
 5007 | r1tgFczu |   13 | rateme-pl |  48 |             12396 |           19426
 5007 | r1tgFczu |   13 | rateme-pl |  67 |             12310 |           21760
 5007 | r1tgFczu |   13 | rateme-pl | 167 |             13657 |           11456
 5008 | r1tMkUHy |   13 | rateme-pl | 149 |               831 |           34323
 5008 | r1tMkUHy |   13 | rateme-pl |  79 |             11302 |           32387
 5008 | r1tMkUHy |   13 | rateme-pl |  83 |             15620 |           29050
 5008 | r1tMkUHy |   13 | rateme-pl |   1 |             13041 |           21442
 5008 | r1tMkUHy |   13 | rateme-pl | 128 |             26751 |           20453
 5008 | r1tMkUHy |   13 | rateme-pl |  85 |             25493 |           17124
 5008 | r1tMkUHy |   13 | rateme-pl | 133 |             11230 |           20210
 5008 | r1tMkUHy |   13 | rateme-pl |  91 |             20057 |           26575
 5008 | r1tMkUHy |   13 | rateme-pl |  11 |             12473 |           32511
 5008 | r1tMkUHy |   13 | rateme-pl | 170 |              3563 |           35275
 5009 | r1trwLeT |   13 | rateme-pl |  47 |             12730 |           21391
 5009 | r1trwLeT |   13 | rateme-pl |  87 |              9123 |           20585
 5009 | r1trwLeT |   13 | rateme-pl |  43 |             12899 |           57424
 5009 | r1trwLeT |   13 | rateme-pl | 171 |             12038 |           41272
 5009 | r1trwLeT |   13 | rateme-pl |  55 |             20584 |           33343
 5009 | r1trwLeT |   13 | rateme-pl | 126 |             12334 |           30488
 5009 | r1trwLeT |   13 | rateme-pl |  24 |             14368 |           27553
 5009 | r1trwLeT |   13 | rateme-pl |  19 |              9790 |           26936
 5009 | r1trwLeT |   13 | rateme-pl | 106 |             12601 |           35065
 5009 | r1trwLeT |   13 | rateme-pl |  64 |              9498 |           24824
 5009 | r1trwLeT |   13 | rateme-pl |  70 |             10859 |           20744
 5009 | r1trwLeT |   13 | rateme-pl |  86 |             12776 |           27584
 5009 | r1trwLeT |   13 | rateme-pl |  13 |             10601 |           21704
 5009 | r1trwLeT |   13 | rateme-pl | 102 |             12123 |           26279
 5009 | r1trwLeT |   13 | rateme-pl | 109 |             11232 |           21080
 5009 | r1trwLeT |   13 | rateme-pl |  36 |             13232 |           21424
 5009 | r1trwLeT |   13 | rateme-pl |   4 |              8750 |           20128
 5009 | r1trwLeT |   13 | rateme-pl |  14 |              9033 |           18745
 5009 | r1trwLeT |   13 | rateme-pl | 100 |             12394 |           22064
 5009 | r1trwLeT |   13 | rateme-pl | 127 |             19138 |           22641
 5010 | r1t9oCJZ |   13 | rateme-pl |  95 |              8225 |           19592
 5010 | r1t9oCJZ |   13 | rateme-pl | 113 |             12984 |           21128
 5010 | r1t9oCJZ |   13 | rateme-pl | 138 |              9267 |           35422
 5010 | r1t9oCJZ |   13 | rateme-pl | 116 |             10515 |           19048
 5010 | r1t9oCJZ |   13 | rateme-pl |  56 |              5779 |           13993
 5010 | r1t9oCJZ |   13 | rateme-pl |  27 |              8624 |           28216
 5010 | r1t9oCJZ |   13 | rateme-pl |  57 |             12089 |           17848
 5010 | r1t9oCJZ |   13 | rateme-pl | 136 |              4672 |           28960
 5010 | r1t9oCJZ |   13 | rateme-pl | 168 |             15296 |           15655
 5010 | r1t9oCJZ |   13 | rateme-pl |  60 |              7910 |           26488
 5013 | r1ttF6PH |   13 | rateme-pl | 154 |             11048 |           26436
 5013 | r1ttF6PH |   13 | rateme-pl |  12 |              8399 |           47173
 5013 | r1ttF6PH |   13 | rateme-pl | 108 |             13671 |           29353
 5015 | r1teQ2go |   13 | rateme-pl | 119 |              3200 |           77896
 5015 | r1teQ2go |   13 | rateme-pl |  46 |              9868 |           23536
 5015 | r1teQ2go |   13 | rateme-pl |  94 |             12938 |           23423
 5015 | r1teQ2go |   13 | rateme-pl |   7 |              9249 |           23989
 5016 | r1t7hhY9 |   13 | rateme-pl |  97 |              9897 |           52497
 5016 | r1t7hhY9 |   13 | rateme-pl |  61 |              9040 |           34320
 5016 | r1t7hhY9 |   13 | rateme-pl | 141 |             11790 |           35755
 5016 | r1t7hhY9 |   13 | rateme-pl |  51 |             14785 |           35191
 5016 | r1t7hhY9 |   13 | rateme-pl |   0 |              5307 |           27734
 5016 | r1t7hhY9 |   13 | rateme-pl |  50 |              7704 |           16791
 5016 | r1t7hhY9 |   13 | rateme-pl |  20 |              8613 |           19767
 5016 | r1t7hhY9 |   13 | rateme-pl | 151 |             12441 |           24610
 5016 | r1t7hhY9 |   13 | rateme-pl |  29 |              8405 |           23752
 5016 | r1t7hhY9 |   13 | rateme-pl |  69 |              8300 |           33441
 5017 | r1tkLQvn |   13 | rateme-pl | 124 |             12865 |           55477
 5017 | r1tkLQvn |   13 | rateme-pl | 165 |             20086 |           47080
 5017 | r1tkLQvn |   13 | rateme-pl |  65 |             41477 |           41094
 5017 | r1tkLQvn |   13 | rateme-pl |  68 |             19004 |           38161
 5017 | r1tkLQvn |   13 | rateme-pl |  99 |             46313 |           25168
 5017 | r1tkLQvn |   13 | rateme-pl |  17 |             19075 |           44998
 5017 | r1tkLQvn |   13 | rateme-pl |  80 |             12073 |           32365
 5017 | r1tkLQvn |   13 | rateme-pl |  54 |             13703 |           35670
 5017 | r1tkLQvn |   13 | rateme-pl | 121 |             12833 |           31078
 5017 | r1tkLQvn |   13 | rateme-pl |   9 |             25737 |           41561
 5018 | r1tTucFZ |   13 | rateme-pl | 112 |             23288 |           81653
 5018 | r1tTucFZ |   13 | rateme-pl |  33 |             11109 |           56336
 5018 | r1tTucFZ |   13 | rateme-pl |  89 |             14309 |           30035
 5018 | r1tTucFZ |   13 | rateme-pl |   2 |             20968 |           35426
 5018 | r1tTucFZ |   13 | rateme-pl | 155 |             46280 |           40174
 5018 | r1tTucFZ |   13 | rateme-pl |  45 |             13613 |           24540
 5018 | r1tTucFZ |   13 | rateme-pl |  84 |             25571 |           33434
 5018 | r1tTucFZ |   13 | rateme-pl | 123 |              8961 |           30310
 5018 | r1tTucFZ |   13 | rateme-pl |  37 |             13509 |           27171
 5018 | r1tTucFZ |   13 | rateme-pl | 101 |             22382 |           31172
 5018 | r1tTucFZ |   13 | rateme-pl |  26 |              9533 |           72010
 5018 | r1tTucFZ |   13 | rateme-pl | 152 |             11966 |           21551
 5018 | r1tTucFZ |   13 | rateme-pl | 143 |             13060 |           14643
 5018 | r1tTucFZ |   13 | rateme-pl |  16 |             13822 |           13064
 5018 | r1tTucFZ |   13 | rateme-pl |  41 |             14920 |           21826
 5018 | r1tTucFZ |   13 | rateme-pl | 159 |             17137 |           28421
 5018 | r1tTucFZ |   13 | rateme-pl | 173 |             17040 |           25272
 5018 | r1tTucFZ |   13 | rateme-pl |  58 |             17003 |           29195
 5018 | r1tTucFZ |   13 | rateme-pl | 162 |              9448 |           16804
 5018 | r1tTucFZ |   13 | rateme-pl | 129 |             16583 |           24181
 5020 | r1t7haNt |   13 | rateme-pl | 114 |              5195 |           16888
 5020 | r1t7haNt |   13 | rateme-pl | 174 |             19184 |           33864
 5020 | r1t7haNt |   13 | rateme-pl |  74 |             14218 |           33358
 5020 | r1t7haNt |   13 | rateme-pl | 122 |             32797 |           23594
 5020 | r1t7haNt |   13 | rateme-pl | 137 |             19120 |           19829
 5020 | r1t7haNt |   13 | rateme-pl |  39 |             13372 |           28330
 5020 | r1t7haNt |   13 | rateme-pl | 163 |              9581 |           32723
 5020 | r1t7haNt |   13 | rateme-pl | 111 |             17568 |           22098
 5020 | r1t7haNt |   13 | rateme-pl |   2 |             11974 |           18485
 5020 | r1t7haNt |   13 | rateme-pl |  62 |             11140 |           24013
 5020 | r1t7haNt |   13 | rateme-pl | 171 |             16043 |            8227
 5020 | r1t7haNt |   13 | rateme-pl |  10 |             16673 |           26062
 5020 | r1t7haNt |   13 | rateme-pl | 152 |              6047 |           29879
 5020 | r1t7haNt |   13 | rateme-pl | 104 |             13555 |           19955
 5020 | r1t7haNt |   13 | rateme-pl |  73 |             12041 |           13623
 5020 | r1t7haNt |   13 | rateme-pl | 176 |             12742 |           14218
 5020 | r1t7haNt |   13 | rateme-pl | 144 |             20805 |           14272
 5020 | r1t7haNt |   13 | rateme-pl | 157 |             10208 |           11798
 5020 | r1t7haNt |   13 | rateme-pl |  33 |              8785 |           20599
 5020 | r1t7haNt |   13 | rateme-pl |  93 |             11213 |           79681
 5021 | r1t5Xy5v |   13 | rateme-pl |  59 |              9530 |           14574
 5021 | r1t5Xy5v |   13 | rateme-pl |  52 |             10781 |           14860
 5021 | r1t5Xy5v |   13 | rateme-pl | 157 |              6540 |           20279
 5021 | r1t5Xy5v |   13 | rateme-pl | 172 |             11923 |           22536
 5021 | r1t5Xy5v |   13 | rateme-pl | 178 |              9097 |           30961
 5022 | r1tqDQW3 |   13 | rateme-pl | 179 |             10266 |           16468
 5022 | r1tqDQW3 |   13 | rateme-pl | 166 |              7894 |           25231
 5022 | r1tqDQW3 |   13 | rateme-pl | 158 |              7913 |            9045
 5022 | r1tqDQW3 |   13 | rateme-pl |  22 |             11748 |           13876
 5022 | r1tqDQW3 |   13 | rateme-pl | 169 |              7385 |            8763
 5022 | r1tqDQW3 |   13 | rateme-pl |  35 |              6626 |           19107
 5022 | r1tqDQW3 |   13 | rateme-pl |  90 |              8475 |           63150
 5022 | r1tqDQW3 |   13 | rateme-pl | 110 |             10819 |           24953
 5022 | r1tqDQW3 |   13 | rateme-pl |  96 |             27990 |           41480
 5022 | r1tqDQW3 |   13 | rateme-pl | 140 |             10157 |           27594
 5022 | r1tqDQW3 |   13 | rateme-pl |  92 |              7430 |           40071
 5022 | r1tqDQW3 |   13 | rateme-pl | 115 |              8912 |           60150
 5022 | r1tqDQW3 |   13 | rateme-pl |  25 |              8707 |           21254
 5022 | r1tqDQW3 |   13 | rateme-pl |   5 |             13207 |           21535
 5022 | r1tqDQW3 |   13 | rateme-pl | 175 |              9838 |           16998
 5022 | r1tqDQW3 |   13 | rateme-pl |  38 |              5930 |           17394
 5022 | r1tqDQW3 |   13 | rateme-pl |  15 |              9688 |           23125
 5022 | r1tqDQW3 |   13 | rateme-pl | 132 |              8622 |           14806
 5022 | r1tqDQW3 |   13 | rateme-pl |  98 |             11780 |           22677
 5022 | r1tqDQW3 |   13 | rateme-pl | 176 |              7861 |           13838
 5023 | r1tNvmvx |   13 | rateme-pl | 117 |              8268 |           32100
 5025 | r1trayET |   13 | rateme-pl |  34 |             15086 |           18439
 5025 | r1trayET |   13 | rateme-pl | 111 |             15409 |           36986
 5025 | r1trayET |   13 | rateme-pl |  78 |              1026 |           39951
 5025 | r1trayET |   13 | rateme-pl |  31 |             15400 |           25377
 5025 | r1trayET |   13 | rateme-pl | 176 |             14880 |           32622
 5025 | r1trayET |   13 | rateme-pl |  93 |             12382 |           13204
 5025 | r1trayET |   13 | rateme-pl | 139 |             11992 |           17493
 5025 | r1trayET |   13 | rateme-pl | 114 |             17076 |           17949
 5025 | r1trayET |   13 | rateme-pl |  21 |             12479 |           25153
 5025 | r1trayET |   13 | rateme-pl |  65 |             92345 |           17706
 5026 | r1tM8jwj |   13 | rateme-pl | 168 |             18654 |           39565
 5026 | r1tM8jwj |   13 | rateme-pl |  51 |             16671 |           25803
 5026 | r1tM8jwj |   13 | rateme-pl | 113 |             20462 |           22011
 5026 | r1tM8jwj |   13 | rateme-pl | 100 |             18169 |           22915
 5026 | r1tM8jwj |   13 | rateme-pl |  23 |             14893 |           38724
 5026 | r1tM8jwj |   13 | rateme-pl |  25 |             20669 |           25519
 5026 | r1tM8jwj |   13 | rateme-pl |  56 |             13561 |           28128
 5026 | r1tM8jwj |   13 | rateme-pl | 178 |             14144 |           30112
 5026 | r1tM8jwj |   13 | rateme-pl |  19 |             11992 |           42210
 5026 | r1tM8jwj |   13 | rateme-pl | 146 |             18347 |           27319
 5028 | r1tRTMJh |   13 | rateme-pl |  44 |             10436 |           29708
 5028 | r1tRTMJh |   13 | rateme-pl | 167 |             11374 |           19012
 5028 | r1tRTMJh |   13 | rateme-pl | 134 |             11730 |           22445
 5028 | r1tRTMJh |   13 | rateme-pl |  66 |             11838 |           16794
 5028 | r1tRTMJh |   13 | rateme-pl | 174 |              9931 |           12543
 5028 | r1tRTMJh |   13 | rateme-pl | 131 |            158485 |           13924
 5029 | r1twQY9Y |   13 | rateme-pl |  85 |             11956 |           25479
 5029 | r1twQY9Y |   13 | rateme-pl |  78 |             12672 |           44136
 5029 | r1twQY9Y |   13 | rateme-pl |   9 |             14915 |           39452
 5029 | r1twQY9Y |   13 | rateme-pl | 172 |             19326 |           35857
 5029 | r1twQY9Y |   13 | rateme-pl | 102 |             18645 |           29069
 5029 | r1twQY9Y |   13 | rateme-pl | 129 |             17386 |           21075
 5029 | r1twQY9Y |   13 | rateme-pl | 137 |             54278 |           27631
 5029 | r1twQY9Y |   13 | rateme-pl |  49 |             67223 |           32050
 5029 | r1twQY9Y |   13 | rateme-pl |  30 |             10259 |           20325
 5029 | r1twQY9Y |   13 | rateme-pl | 156 |             20127 |           19356
 5030 | r1tthgLT |   13 | rateme-pl |  28 |              9858 |           25969
 5030 | r1tthgLT |   13 | rateme-pl |  63 |              7096 |           16617
 5030 | r1tthgLT |   13 | rateme-pl | 165 |             16380 |           15704
 5030 | r1tthgLT |   13 | rateme-pl |   0 |              5578 |           30352
 5030 | r1tthgLT |   13 | rateme-pl |  37 |             29280 |           11872
 5030 | r1tthgLT |   13 | rateme-pl | 143 |              9489 |           22514
 5030 | r1tthgLT |   13 | rateme-pl |  59 |              7494 |           17207
 5030 | r1tthgLT |   13 | rateme-pl |  98 |              9146 |           22828
 5030 | r1tthgLT |   13 | rateme-pl |  76 |               632 |           29592
 5030 | r1tthgLT |   13 | rateme-pl |  45 |             10739 |           85987
 5031 | r1tvTv2Q |   13 | rateme-pl |  13 |             44402 |           14410
